query_product,query_category,model,reranking,rank,recommended_product,rec_category,rec_brand,similarity_score,rating,sold,trust_score,is_mall
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,PhoBERT,no,0,"Đồng hồ thông minh Samsung Galaxy Watch7, Galaxy AI, 44mm",Điện thoại,samsung,0.9584,5.0,174,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,PhoBERT,no,0,"Đồng hồ thông minh Samsung Galaxy Watch8, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện, 40mm & 44mm",Điện thoại,samsung,0.956,5.0,49,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,PhoBERT,no,0,"Điện thoại Samsung Galaxy A56 5G, Màn Hình FHD 6.7”, Mặt lưng kính, AI-Best Face, Camera giảm nhiễu ảnh chụp đêm, Sạc 45W",Điện thoại,samsung,0.9543,4.87,2400,0.8,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,PhoBERT,no,0,"Đồng hồ thông minh Samsung Galaxy Watch8 40mm LTE, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện",Điện thoại,samsung,0.9535,5.0,38,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,PhoBERT,no,0,"Điện thoại Samsung Galaxy A26 5G (8/128GB), Mặt lưng kính, AI-Circle to Search, Camera HDR chụp đêm sáng rõ",Điện thoại,samsung,0.9507,4.95,5100,0.8,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,Hybrid-SBERT,no,0,Đồng hồ đeo tay thông minh Samsung Galaxy Watch FE 2024,Đồng hồ,samsung,0.9834,5.0,1000,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,Hybrid-SBERT,no,0,"Đồng hồ thông minh Samsung Galaxy Watch8 40mm LTE, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện",Điện thoại,samsung,0.9595,5.0,38,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,Hybrid-SBERT,no,0,"Đồng hồ thông minh Samsung Galaxy Watch8, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện, 40mm & 44mm",Điện thoại,samsung,0.9595,5.0,49,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,Hybrid-SBERT,no,0,"Đồng hồ thông minh Samsung Galaxy Watch7, Galaxy AI, 44mm",Điện thoại,samsung,0.9366,5.0,174,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,Hybrid-SBERT,no,0,"Đồng hồ thông minh Samsung Galaxy Watch Ultra, Galaxy AI, thiết kế từ Titan, 47mm, LTE",Điện thoại,samsung,0.9012,5.0,141,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,Hybrid-PhoBERT,no,0,"Đồng hồ thông minh Samsung Galaxy Watch7, Galaxy AI, 44mm",Điện thoại,samsung,0.96,5.0,174,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,Hybrid-PhoBERT,no,0,"Đồng hồ thông minh Samsung Galaxy Watch8, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện, 40mm & 44mm",Điện thoại,samsung,0.9595,5.0,49,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,Hybrid-PhoBERT,no,0,"Đồng hồ thông minh Samsung Galaxy Watch8 40mm LTE, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện",Điện thoại,samsung,0.9519,5.0,38,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,Hybrid-PhoBERT,no,0,"Đồng hồ thông minh Samsung Galaxy Watch Ultra, Galaxy AI, thiết kế từ Titan, 47mm, LTE",Điện thoại,samsung,0.9148,5.0,141,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,Hybrid-PhoBERT,no,0,"Điện thoại Samsung Galaxy S24 Ultra, Điện thoại AI, Camera 200MP, Màn hình lớn 6.8""",Điện thoại,samsung,0.8565,5.0,5400,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,TF-IDF,no,0,Apple iPhone 13 128GB Chính Hãng (VN/A),Điện thoại,apple,0.3677,5.0,396,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,TF-IDF,no,0,Apple iPhone 15 128GB Chính hãng (VN/A),Điện thoại,apple,0.3567,4.89,203,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,TF-IDF,no,0,iPhone 15 128GB Chính Hãng VN/A,Điện thoại,apple,0.35,5.0,114,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,TF-IDF,no,0,Apple iPhone 14 128GB Chính Hãng (VN/A),Điện thoại,apple,0.3419,5.0,154,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,TF-IDF,no,0,Điện thoại Apple iPhone 17 Pro Max - Hàng Chính Hãng ZP/A,Điện thoại,apple,0.3147,4.95,2300,0.95,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,SBERT,no,0,Điện thoại Apple iPhone 16 Plus - Hàng Chính Hãng VN/A,Điện thoại,apple,0.899,4.98,895,0.85,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,SBERT,no,0,Apple iPhone 13 128GB Chính Hãng (VN/A),Điện thoại,apple,0.8964,5.0,396,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,SBERT,no,0,Apple iPhone 15 128GB Chính hãng (VN/A),Điện thoại,apple,0.8919,4.89,203,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,SBERT,no,0,Điện thoại Apple iPhone 16 - Hàng Chính Hãng VN/A,Điện thoại,apple,0.8877,4.93,883,0.85,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,SBERT,no,0,Apple iPhone 14 128GB Chính hãng (VN/A),Điện thoại,apple,0.886,5.0,87,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,PhoBERT,no,0,Điện thoại Apple iPhone Air - Hàng Chính Hãng ZP/A,Điện thoại,apple,0.9529,5.0,90,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,PhoBERT,no,0,Apple iPhone 15 128GB Chính hãng (VN/A),Điện thoại,apple,0.9528,4.89,203,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,PhoBERT,no,0,Điện thoại Apple iPhone 17 - Hàng Chính Hãng ZP/A,Điện thoại,apple,0.9525,4.92,364,0.8,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,PhoBERT,no,0,Điện thoại Apple iPhone 16 Plus - Hàng Chính Hãng VN/A,Điện thoại,apple,0.9489,4.98,895,0.85,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,PhoBERT,no,0,Điện thoại Apple iPhone 16 - Hàng Chính Hãng VN/A,Điện thoại,apple,0.9486,4.93,883,0.85,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,Hybrid-SBERT,no,0,Apple iPhone 13 128GB Chính Hãng (VN/A),Điện thoại,apple,0.9753,5.0,396,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,Hybrid-SBERT,no,0,Apple iPhone 15 128GB Chính hãng (VN/A),Điện thoại,apple,0.9595,4.89,203,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,Hybrid-SBERT,no,0,iPhone 15 128GB Chính Hãng VN/A,Điện thoại,apple,0.9228,5.0,114,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,Hybrid-SBERT,no,0,Apple iPhone 14 128GB Chính Hãng (VN/A),Điện thoại,apple,0.9086,5.0,154,0.7,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,Hybrid-SBERT,no,0,Điện thoại Apple iPhone 17 - Hàng Chính Hãng ZP/A,Điện thoại,apple,0.9008,4.92,364,0.8,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,Hybrid-PhoBERT,no,0,Apple iPhone 15 128GB Chính hãng (VN/A),Điện thoại,apple,0.9673,4.89,203,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,Hybrid-PhoBERT,no,0,Điện thoại Apple iPhone Air - Hàng Chính Hãng ZP/A,Điện thoại,apple,0.9456,5.0,90,0.75,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,Hybrid-PhoBERT,no,0,Điện thoại Apple iPhone 17 - Hàng Chính Hãng ZP/A,Điện thoại,apple,0.9228,4.92,364,0.8,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,Hybrid-PhoBERT,no,0,Điện thoại Apple iPhone 17 Pro Max - Hàng Chính Hãng ZP/A,Điện thoại,apple,0.8823,4.95,2300,0.95,1
iPhone 13 - Hàng Chính Hãng VN/A,Điện thoại,Hybrid-PhoBERT,no,0,Điện thoại Apple iPhone 16 - Hàng Chính Hãng VN/A,Điện thoại,apple,0.8705,4.93,883,0.85,1
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,TF-IDF,no,0,Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Màn Hình Màu Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,other,0.8296,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,TF-IDF,no,0,"Máy Tính Có Thể Gập Lại & Máy Tính Bảng Viết LCD 6 Inch Bảng Vẽ Kỹ Thuật Số, Màn Hình 12 Chữ Số Với Bút Cảm Ứng Nút Xóa Dành Cho Trẻ Em Người Lớn Sử Dụng Tại Nhà Văn Phòng Trường Học",Bút cảm ứng,other,0.5251,5.0,8,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,TF-IDF,no,0,Máy tính bảng viết LCD cho người lớn xóa được 10 inch toàn màn hình Bảng vẽ cho các văn bản,Máy tính bảng,other,0.3639,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,TF-IDF,no,0,Máy tính bảng vẽ điện tử thông minh tự xóa - Bản vẽ LCD - Trẻ em thông minh 12 inch,Máy tính bảng,other,0.3161,5.0,85,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,TF-IDF,no,0,Garosa Máy tính bảng viết LCD 10 1 inch Bảng vẽ Doodle Bảng chữ viết tay dành cho doanh nghiệp có vỏ PU Bút cảm ứng từ tính cho văn phòng Doanh nhân trẻ mới biết đi Quà tặng đồ chơi giáo dục và học tập cho bé trai và bé gái,Bút cảm ứng,other,0.2728,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,SBERT,no,0,Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Màn Hình Màu Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,other,0.9744,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,SBERT,no,0,"Máy Tính Có Thể Gập Lại & Máy Tính Bảng Viết LCD 6 Inch Bảng Vẽ Kỹ Thuật Số, Màn Hình 12 Chữ Số Với Bút Cảm Ứng Nút Xóa Dành Cho Trẻ Em Người Lớn Sử Dụng Tại Nhà Văn Phòng Trường Học",Bút cảm ứng,other,0.9254,5.0,8,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,SBERT,no,0,BIGHSM Máy Tính Khoa Học Với Văn Bản Vẽ Máy Tính Bảng Xách Tay 12 Chữ Số LCD Lớn Hiển Thị Máy Tính Cho Toán Học Văn Phòng Dự Thảo Bản Ghi Nhớ,Máy tính bảng,other,0.8226,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,SBERT,no,0,Garosa Máy tính bảng viết LCD 10 1 inch Bảng vẽ Doodle Bảng chữ viết tay dành cho doanh nghiệp có vỏ PU Bút cảm ứng từ tính cho văn phòng Doanh nhân trẻ mới biết đi Quà tặng đồ chơi giáo dục và học tập cho bé trai và bé gái,Bút cảm ứng,other,0.8217,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,SBERT,no,0,E-WOITD Máy Tính Khoa Học Với Văn Bản Vẽ Máy Tính Bảng Xách Tay 12 Chữ Số LCD Lớn Hiển Thị Máy Tính Cho Toán Học Văn Phòng Dự Thảo Bản Ghi Nhớ,Máy tính bảng,other,0.815,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,PhoBERT,no,0,Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Màn Hình Màu Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,other,0.9561,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,PhoBERT,no,0,BIGHSM Máy Tính Khoa Học Với Văn Bản Vẽ Máy Tính Bảng Xách Tay 12 Chữ Số LCD Lớn Hiển Thị Máy Tính Cho Toán Học Văn Phòng Dự Thảo Bản Ghi Nhớ,Máy tính bảng,other,0.9171,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,PhoBERT,no,0,E-WOITD Máy Tính Khoa Học Với Văn Bản Vẽ Máy Tính Bảng Xách Tay 12 Chữ Số LCD Lớn Hiển Thị Máy Tính Cho Toán Học Văn Phòng Dự Thảo Bản Ghi Nhớ,Máy tính bảng,other,0.9136,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,PhoBERT,no,0,"Máy Tính Có Thể Gập Lại & Máy Tính Bảng Viết LCD 6 Inch Bảng Vẽ Kỹ Thuật Số, Màn Hình 12 Chữ Số Với Bút Cảm Ứng Nút Xóa Dành Cho Trẻ Em Người Lớn Sử Dụng Tại Nhà Văn Phòng Trường Học",Bút cảm ứng,other,0.8828,5.0,8,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,PhoBERT,no,0,"Máy Tính Bảng Giáo Dục Sớm Thông Minh Cho Bé, Học Đọc Tiếng Việt, Đa Năng Như Điện Thoại Di Động",Điện thoại,other,0.8812,5.0,5,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,Hybrid-SBERT,no,0,Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Màn Hình Màu Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,other,0.9834,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,Hybrid-SBERT,no,0,"Máy Tính Có Thể Gập Lại & Máy Tính Bảng Viết LCD 6 Inch Bảng Vẽ Kỹ Thuật Số, Màn Hình 12 Chữ Số Với Bút Cảm Ứng Nút Xóa Dành Cho Trẻ Em Người Lớn Sử Dụng Tại Nhà Văn Phòng Trường Học",Bút cảm ứng,other,0.9673,5.0,8,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,Hybrid-SBERT,no,0,Garosa Máy tính bảng viết LCD 10 1 inch Bảng vẽ Doodle Bảng chữ viết tay dành cho doanh nghiệp có vỏ PU Bút cảm ứng từ tính cho văn phòng Doanh nhân trẻ mới biết đi Quà tặng đồ chơi giáo dục và học tập cho bé trai và bé gái,Bút cảm ứng,other,0.9293,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,Hybrid-SBERT,no,0,Máy tính bảng viết LCD cho người lớn xóa được 10 inch toàn màn hình Bảng vẽ cho các văn bản,Máy tính bảng,other,0.9228,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,Hybrid-SBERT,no,0,BIGHSM Máy Tính Khoa Học Với Văn Bản Vẽ Máy Tính Bảng Xách Tay 12 Chữ Số LCD Lớn Hiển Thị Máy Tính Cho Toán Học Văn Phòng Dự Thảo Bản Ghi Nhớ,Máy tính bảng,other,0.9228,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,Hybrid-PhoBERT,no,0,Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Màn Hình Màu Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,other,0.9834,5.0,0,0.5,0
Máy Tính Bảng Viết LCD 12 Inch Bảng Vẽ Kỹ Thuật Số Điện Tử Bảng Viết Xóa Được Xóa Một Cú Nhấp Chuột Kèm Nút Khóa Quà Tặng Cho Trẻ Em Người Lớn Tại Nhà Văn Phòng Trường Học,Máy tính bảng,Hybrid-PhoBERT,no,0,"Máy Tính Có Thể Gập Lại & Máy Tính Bảng Viết LCD 6 Inch Bảng Vẽ Kỹ Thuật Số, Màn Hình 12 Chữ Số Với Bút Cảm Ứng Nút Xóa Dành Cho Trẻ Em Người Lớn Sử Dụng Tại Nhà Văn Phòng Trường Học",Bút cảm ứng,other,0.9519,5.0,8,0.5,0
